"AMA","Recharge Facility","Water User","Year","Group","Data","Variable","deliveries"
"Tucson","CMID","AWBA Tucson AMA",2016,"GSF Deliveries","Recharge","Scheduled","1500"
"Tucson","CMID","AWBA Tucson AMA",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","CMID","Metro DWID",2016,"GSF Deliveries","Recharge","Delivered","4412"
"Tucson","CMID","Metro DWID",2016,"GSF Deliveries","Recharge","Scheduled","4412"
"Tucson","CMID","Metro DWID",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","CMID","Spanish Trail WC",2016,"GSF Deliveries","Recharge","Delivered","2987"
"Tucson","CMID","Spanish Trail WC",2016,"GSF Deliveries","Recharge","Scheduled","2987"
"Tucson","CMID","Spanish Trail WC",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","CMID","Total",2016,"GSF Deliveries","Recharge","Delivered","8899"
"Tucson","CMID","Total",2016,"GSF Deliveries","Recharge","Scheduled","8899"
"Tucson","CMID","Total",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","Kai-Red Rock","AWBA Tucson AMA",2016,"GSF Deliveries","Recharge","Delivered","540"
"Tucson","Kai-Red Rock","AWBA Tucson AMA",2016,"GSF Deliveries","Recharge","Scheduled","0"
"Tucson","Kai-Red Rock","AWBA Tucson AMA",2016,"GSF Deliveries","Recharge","Remaining","-540"
"Tucson","Kai-Red Rock","CAGRD",2016,"GSF Deliveries","Recharge","Delivered","500"
"Tucson","Kai-Red Rock","CAGRD",2016,"GSF Deliveries","Recharge","Scheduled","500"
"Tucson","Kai-Red Rock","CAGRD",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","Kai-Red Rock","Metro DWID",2016,"GSF Deliveries","Recharge","Delivered","1100"
"Tucson","Kai-Red Rock","Metro DWID",2016,"GSF Deliveries","Recharge","Scheduled","1100"
"Tucson","Kai-Red Rock","Metro DWID",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","Kai-Red Rock","Oro Valley",2016,"GSF Deliveries","Recharge","Delivered","4000"
"Tucson","Kai-Red Rock","Oro Valley",2016,"GSF Deliveries","Recharge","Scheduled","4000"
"Tucson","Kai-Red Rock","Oro Valley",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","Kai-Red Rock","Vail WC",2016,"GSF Deliveries","Recharge","Delivered","757"
"Tucson","Kai-Red Rock","Vail WC",2016,"GSF Deliveries","Recharge","Scheduled","757"
"Tucson","Kai-Red Rock","Vail WC",2016,"GSF Deliveries","Recharge","Remaining","0"
"Tucson","Kai-Red Rock","Total",2016,"GSF Deliveries","Recharge","Delivered","6897"
"Tucson","Kai-Red Rock","Total",2016,"GSF Deliveries","Recharge","Scheduled","6357"
"Tucson","Kai-Red Rock","Total",2016,"GSF Deliveries","Recharge","Remaining","-540"
"Total",NA,NA,2016,"GSF Deliveries","Recharge","Delivered","389519"
"Total",NA,NA,2016,"GSF Deliveries","Recharge","Scheduled","389234"
"Total",NA,NA,2016,"GSF Deliveries","Recharge","Remaining","-285"
"Phoenix","AFRP Constructed","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Delivered","5754"
"Phoenix","AFRP Constructed","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Scheduled","6177"
"Phoenix","AFRP Constructed","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Remaining","423"
"Phoenix","AFRP Constructed","CAGRD",2016,"USF Deliveries","Recharge","Delivered","5604"
"Phoenix","AFRP Constructed","CAGRD",2016,"USF Deliveries","Recharge","Scheduled","5604"
"Phoenix","AFRP Constructed","CAGRD",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","AFRP Constructed","Goodyear",2016,"USF Deliveries","Recharge","Delivered","4000"
"Phoenix","AFRP Constructed","Goodyear",2016,"USF Deliveries","Recharge","Scheduled","4000"
"Phoenix","AFRP Constructed","Goodyear",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","AFRP Constructed","Peoria",2016,"USF Deliveries","Recharge","Delivered","2779"
"Phoenix","AFRP Constructed","Peoria",2016,"USF Deliveries","Recharge","Scheduled","2779"
"Phoenix","AFRP Constructed","Peoria",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","AFRP Constructed","Surprise",2016,"USF Deliveries","Recharge","Delivered","125"
"Phoenix","AFRP Constructed","Surprise",2016,"USF Deliveries","Recharge","Scheduled","125"
"Phoenix","AFRP Constructed","Surprise",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","AFRP Constructed","Total",2016,"USF Deliveries","Recharge","Delivered","18262"
"Phoenix","AFRP Constructed","Total",2016,"USF Deliveries","Recharge","Scheduled","18685"
"Phoenix","AFRP Constructed","Total",2016,"USF Deliveries","Recharge","Remaining","423"
"Phoenix","GRUSP","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Delivered","10120"
"Phoenix","GRUSP","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Scheduled","10500"
"Phoenix","GRUSP","AWBA Phx AMA",2016,"USF Deliveries","Recharge","Remaining","380"
"Phoenix","GRUSP","Chandler",2016,"USF Deliveries","Recharge","Delivered","2185"
"Phoenix","GRUSP","Chandler",2016,"USF Deliveries","Recharge","Scheduled","2185"
"Phoenix","GRUSP","Chandler",2016,"USF Deliveries","Recharge","Remaining","0"
"Phoenix","GRUSP","Gilbert",2016,"USF Deliveries","Recharge","Delivered","1199"
"Phoenix","GRUSP","Gilbert",2016,"USF Deliveries","Recharge","Scheduled","1339"
"Phoenix","GRUSP","Gilbert",2016,"USF Deliveries","Recharge","Remaining","140"
"Phoenix","GRUSP","GRIC",2016,"USF Deliveries","Recharge","Delivered","2200"
"Phoenix","GRUSP","GRIC",2016,"USF Deliveries","Recharge","Scheduled","0"
"Phoenix","GRUSP","GRIC",2016,"USF Deliveries","Recharge","Remaining","-2200"
"Phoenix","GRUSP","Phoenix",2016,"USF Deliveries","Recharge","Delivered","5500"
