"AMA","Recharge Facility","Water User","Year","Group","Data","Month","deliveries"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Sep","1921"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Oct","1492"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Dec","1901"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Jan","473"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Feb","4129"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Mar","8638"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Apr","7566"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","May","10972"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Jun","10814"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Jul","9436"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Aug","7545"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Sep","5498"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Oct","5492"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Nov","4817"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Dec","4490"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","May","0"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Jun","0"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Aug","1118"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Sep","1769"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Oct","1540"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Nov","952"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Dec","710"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","May","3000"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Jun","1000"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Aug","0"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Mar","1275"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Apr","2886"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","May","1189"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Jun","3251"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Jul","3167"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Aug","1232"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Nov","140"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Mar","1275"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Apr","2886"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","May","4189"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Jun","4251"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Jul","3167"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Aug","2350"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Sep","1769"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Oct","1540"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Nov","1092"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Dec","710"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","RWCD","AZWC, Superstition",2016,"GSF Deliveries","Recharge","Mar","0"
